slug	brand	old	new
voluzzi-sofa-modulowa	Flexlux	Sofa Voluzzi Flexlux	Sofa Voluzzi
sofa-zulu	Com40 / Comforty	Sofa młodzieżowa Comforty Zulu	Sofa Zulu
stolik-kawowy-ago	None	Stolik kawowy Ago	Stolik Ago
stolik-amsterdam	Take Me Home	Amsterdam stolik kawowy	Stolik Amsterdam
stolik-kawowy-comforty-anvil-2	Com40 / Comforty	Anvil stolik do salonu	Stolik Anvil
stolik-kawowy-comforty-anvil	Com40 / Comforty	Anvil stolik kawowy	Stolik Anvil
stolik-arsen	Take Me Home	Arsen stolik nocny	Stolik Arsen nocny
casual-stolik-kawowy-sits	SITS	Casual stolik kawowy SITS	Stolik Casual
cave-fi-65	LoftDecora	Cave fi 65	Stolik Cave fi 65
cave-fi90	LoftDecora	Cave fi 90	Stolik Cave fi 90
stolik-kawowy-comforty-circus	Com40 / Comforty	Circus – stolik kawowy	Stolik Circus
cube-100	LoftDecora	Cube 100 – stolik loftowy	Stolik Cube 100
cube-80	LoftDecora	Cube 80 – stolik loftowy	Stolik Cube 80
stolik-goodnight	Take Me Home	Goodnight stolik nocny z półką	Stolik Goodnight nocny z półką
stolik-little-iteat	LoftDecora	Iteat little	Stolik Iteat little
latte-3	Doki	Latte 3 – stolik kawowy	Stolik Latte 3
stolik-little-black-2	LoftDecora	Little Black stolik kawowy	Stolik Little Black
love-stolik-kawowy-sits	SITS	Love stolik kawowy SITS	Stolik Love
peak-stolik-kawowy-proj-pawlakstawarski	LoftDecora	Stolik kawowy PEAK COFFEE NISKI	Stolik PEAK COFFEE NISKI
stolik-kawowy-peak-coffee-niski-fi70	LoftDecora	Stolik kawowy PEAK COFFEE NISKI fi70	Stolik PEAK COFFEE NISKI fi70
stolik-kawowy-peak-coffee-wysoki-fi44-h60	LoftDecora	Stolik kawowy PEAK COFFEE wysoki fi44 H60	Stolik PEAK COFFEE wysoki fi44 H60
stolik-palafitte	Com40 / Comforty	Stolik kawowy Comforty Palafitte	Stolik Palafitte
stolik-poly	Com40 / Comforty	Stolik kawowy Comforty Poly	Stolik Poly
stolik-little-rude	LoftDecora	Rude Little stolik kawowy	Stolik Rude Little
fameg-stk-1908-likewise	Fameg	Stolik Fameg STK-1908 Likewise	Stolik STK-1908 Likewise
stolik-salto	Take Me Home	Salto stolik kawowy	Stolik Salto
stoliki-uomo	LoftDecora	Stoliki Uomo 2w1	Stolik Stoliki Uomo 2w1
tetris-stolik-kawowy	SITS	Tetris stolik kawowy	Stolik Tetris
stolik-walk	LoftDecora	Walk fi 60	Stolik Walk fi 60
wally	None	Wally – stolik kawowy	Stolik Wally
wave	LoftDecora	Stolik kawowy Wave	Stolik Wave
fameg-st-1403-arcos	Fameg	Stół rozkładany Fameg Arcos ST-1403	Stół Arcos ST-1403
barmi	LoftDecora	Barmi	Stół Barmi
stol-black	LoftDecora	Black 140 – stół loftowy	Stół Black 140
black-160	LoftDecora	Black 160 – stół loftowy	Stół Black 160
black-180	LoftDecora	Black 180 – stół loftowy	Stół Black 180
black-200	LoftDecora	Black 200 – stół loftowy	Stół Black 200
box-sq	None	Box SQ – stół do jadalni	Stół Box SQ
box-oval-stol-do-jadalni	None	Box oval – stół do jadalni	Stół Box oval
stol-drewniany-chamfer	Selfia	CHAMFER stół rozkładany	Stół CHAMFER
chamfer-stol-drewniany	Selfia	CHAMFER stół drewniany	Stół CHAMFER
stol-drewniany-chamfer-140-200x80	Selfia	Stół drewniany CHAMFER 140-200×80	Stół CHAMFER 140-200×80
stol-drewniany-stol-drewniany-chamfe	Selfia	Stół drewniany CHAMFER 140×80	Stół CHAMFER 140×80
stol-drewniany-chamfer-160-220x90	Selfia	Stół drewniany CHAMFER 160-220×90	Stół CHAMFER 160-220×90
stol-drewniany-chamfer-160x90	Selfia	Stół drewniany CHAMFER 160×90	Stół CHAMFER 160×90
stol-drewniany-chamfer-180-250x90	Selfia	Stół drewniany CHAMFER 180-250×90	Stół CHAMFER 180-250×90
stol-drewniany-chamfer-180x90	Selfia	Stół drewniany CHAMFER 180×90	Stół CHAMFER 180×90
stol-drewniany-chamfer-200-290-x-100	Selfia	Stół drewniany CHAMFER 200-290 x 100	Stół CHAMFER 200-290 x 100
stol-drewniany-chamfer-200x100	Selfia	Stół drewniany CHAMFER 200×100	Stół CHAMFER 200×100
stol-drewniany-chamfer-220-310-x-100	Selfia	Stół drewniany CHAMFER 220-310 x 100	Stół CHAMFER 220-310 x 100
cave-fi-110	LoftDecora	Cave fi 110	Stół Cave fi 110
coftu-fi60-stolik-kawiarniany	LoftDecora	Coftu fi60	Stół Coftu fi60
stol-restauracyjny-cross	LoftDecora	Cross 80	Stół Cross 80
fino-stol-do-jadalni	Take Me Home	Fino stół do jadalni	Stół Fino
stol-restauracyjny-flat	LoftDecora	Flat stół restauracyjny	Stół Flat
oval-140-loftdecora	LoftDecora	Flat 140 – stół restauracyjny	Stół Flat 140
stol-iteat	LoftDecora	Iteat 120 stół loftowy	Stół Iteat 120
stol-iteat-rozkladany-140-200	LoftDecora	Iteat 140/200 stół rozkładany	Stół Iteat 140/200
iteat-160	LoftDecora	Iteat 160 – stół loftowy	Stół Iteat 160
iteat-180	LoftDecora	Iteat 180 – stół loftowy	Stół Iteat 180
kamerton	LoftDecora	Kamerton	Stół Kamerton
level-stol-drewniany	Selfia	LEVEL stół drewniany	Stół LEVEL
level-stol-rozkladany	Selfia	LEVEL stół rozkładany	Stół LEVEL
fameg-st-1405-lennox	Fameg	Stół Fameg Lennox ST-1405	Stół Lennox ST-1405
stol-drewniany-level	Selfia	Stół drewniany Level 140×80	Stół Level 140×80
stol-rozkladany-level-160-240x90	None	Stół rozkładany Level 160/240×90	Stół Level 160/240×90
stol-drewniany-level-160x90	Selfia	Stół drewniany Level 160×90	Stół Level 160×90
stol-rozkladany-level-180-260x90	Selfia	Stół rozkładany Level 180/260×90	Stół Level 180/260×90
stol-drewniany-level-180x90	Selfia	Stół drewniany Level 180×90	Stół Level 180×90
stol-rozkladany-level-200-300x100	Selfia	Stół rozkładany Level 200/300×100	Stół Level 200/300×100
stol-drewniany-level-200x100	Selfia	Stół drewniany Level 200×100	Stół Level 200×100
stol-rozkladany-level-220-320x100	Selfia	Stół rozkładany Level 220/320×100	Stół Level 220/320×100
stol-drewniany-level-240x100	Selfia	Stół drewniany Level 240×100	Stół Level 240×100
fameg-st-1275-ilow	Fameg	Stół Fameg Llow ST-1275	Stół Llow ST-1275
stol-rozkladany-modern-215-345	Selfia	Stół rozkładany Modern 215/345	Stół Modern 215/345
modern-215x100	Selfia	Modern 215×100	Stół Modern 215×100
stol-rozkladany-modern-280-410	Selfia	Stół rozkładany Modern 280/410	Stół Modern 280/410
modern-280x110	Selfia	Modern 280×110	Stół Modern 280×110
stol-rozkladany-modern-340-470	Selfia	Stół rozkładany Modern 340/470	Stół Modern 340/470
modern-340x110	Selfia	Modern 340×110	Stół Modern 340×110
stol-modern-classic-rozkladany	Take Me Home	Modern Classic – stół rozkładany	Stół Modern Classic
stol-modern-classic	Take Me Home	Modern Classic stół	Stół Modern Classic
oval-80sq	None	Oval 80sq – stół restauracyjny	Stół Oval 80sq
peak-wysoki-fi60-h75-stol-restauracyjny	LoftDecora	PEAK wysoki fi60 H75 -stół restauracyjny	Stół PEAK wysoki fi60 H75
prince-stol-jadalniany-120x80	Selfia	Prince stół jadalniany 120×80	Stół Prince 120×80
prince-stol-jadalniany-rozkladany-160-240x90	Selfia	Prince stół jadalniany rozkładany 160/240×90	Stół Prince 160/240×90
prince-stol-jadalniany-rozkladany-160-250x90	Selfia	Prince stół jadalniany rozkładany 160/250×90	Stół Prince 160/250×90
prince-stol-jadalniany-160x90	Selfia	Prince stół jadalniany 160×90	Stół Prince 160×90
prince-stol-jadalniany-rozkladany-180-260x90	Selfia	Prince stół jadalniany rozkładany 180/260×90	Stół Prince 180/260×90
prince-stol-jadalniany-rozkladany-180-275x90	Selfia	Prince stół jadalniany rozkładany 180/275×90	Stół Prince 180/275×90
prince-stol-jadalniany-180x80	Selfia	Prince stół jadalniany 180×90	Stół Prince 180×90
prince-stol-jadalniany-rozkladany-200-295x100	Selfia	Prince stół jadalniany rozkładany 200/295×100 Synchro	Stół Prince 200/295×100 Synchro
prince-stol-jadalniany-200x100	Selfia	Prince stół jadalniany 200×100	Stół Prince 200×100
prince-stol-do-jadalni	Selfia	Prins stół do jadalni	Stół Prins
prins-stol-rozkladany-do-jadalni	Selfia	Prins stół rozkładany do jadalni	Stół Prins
stol-ramu	None	Stół ramu	Stół Ramu
stol-rozkladany-fameg-riva-st-1612-dab	Fameg	Stół Fameg Riva ST-1612	Stół Riva ST-1612
rude-120	LoftDecora	Rude 120 – stół loftowy	Stół Rude 120
rude-140	LoftDecora	Rude 140 – stół loftowy	Stół Rude 140
rude-180	LoftDecora	Rude 160 – stół loftowy	Stół Rude 160
rude-180-stol-loftowy-kopia	LoftDecora	Rude 180 – stół loftowy	Stół Rude 180
rude-200	LoftDecora	Rude 200 – stół loftowy	Stół Rude 200
stol-rude-scandi	LoftDecora	Rude Scandi	Stół Rude Scandi
solid-stol-jadalniany	Selfia	SOLID stół do jadalni	Stół SOLID
solid-stol-rozkladany-do-jadalni	Selfia	SOLID stół rozkładany do jadalni	Stół SOLID
solid-stol-jadalniany-rozkladany-160-260	Selfia	SOLID stół jadalniany rozkładany 160/260	Stół SOLID 160/260
solid-stol-jadalniany-160-90	Selfia	SOLID stół jadalniany 160/90	Stół SOLID 160/90
solid-stol-jadalniany-rozkladany-200-300	Selfia	SOLID stół jadalniany rozkładany 200/300	Stół SOLID 200/300
solid-stol-jadalniany-200x100	Selfia	SOLID stół jadalniany 200×100	Stół SOLID 200×100
solid-stol-jadalniany-rozkladany-220-320	Selfia	SOLID stół jadalniany rozkładany 220/320	Stół SOLID 220/320
solid-stol-jadalniany-240x100	Selfia	SOLID stół jadalniany 240×100	Stół SOLID 240×100
fameg-st-1703-senales-2	Fameg	Stół Fameg Senales ST-1703	Stół Senales ST-1703
stol-simplico	Take Me Home	Simplico stół	Stół Simplico
fameg-st-1606-teba	Fameg	Stół Fameg Teba ST-1606	Stół Teba ST-1606
stol-toscano	Fameg	Stół Toscano	Stół Toscano
stol-toscano-rozkladany	Fameg	Stół Toscano rozkładany	Stół Toscano
stol-okragly-rozkladany-scold-fi-110-170	Selfia	Stół okrągły rozkładany SCOLD fi 110/170	Stół okrągły SCOLD fi 110/170
stol-okragly-rozkladany-scold-fi-140-220	Selfia	Stół okrągły rozkładany SCOLD fi 140/220	Stół okrągły SCOLD fi 140/220
kiko-szafka-nocna	Szyszka	Kiko szafka nocna	Szafka Kiko
szafka-ltv	LoftDecora	Ltv 120 szafka	Szafka Ltv 120
ltv-180	LoftDecora	Ltv 180 – szafka	Szafka Ltv 180
stolik-moonlight	Take Me Home	Moonlight szafka nocna	Szafka Moonlight
aurora-szafka-rtv	Take Me Home	aurora Szafka RTV	Szafka RTV Aurora
ltv-225	LoftDecora	LTV 225 – szafka RTV	Szafka RTV LTV 225
szafka-nocna-rosto	None	Szafka nocna Rosto	Szafka Rosto
hoker-miam-taboret	LoftDecora	Miam taboret	Taboret Miam
miam-taboret-tapicerowany	LoftDecora	Miam taboret tapicerowany	Taboret Miam tapicerowany
ldesk-30	LoftDecora	L’DESK 30 – drewniana tacka	Tacka L’DESK 30
ldesk-set	LoftDecora	L’DESK SET – drewniana tacka	Tacka L’DESK SET
sypialnia-2	None	Sypialnia Toska	Toska
trojka	LoftDecora	Trójkąt – stoper do książek	Trójkąt
tstand	LoftDecora	Tstand – stojak wolnostojący	Tstand
hang	LoftDecora	Hang – wieszak łazienkowy	Wieszak Hang
wieszak-clubber	Take Me Home	Klubowicz nowoczesny wieszak	Wieszak Klubowicz
shadow-wieszak	Doki	Shadow – nowoczesny wieszak	Wieszak Shadow
single-shift	LoftDecora	Single shift – wieszak	Wieszak Single shift
wieszak-mr-cosy-z-polka	Take Me Home	Wieszak wygodny z półką	Wieszak Wygodny Z Półką
stolik-maximo	Take Me Home	Maximo ława skandynawska	Ława Maximo skandynawska
lawka	Doki	Meso – ławka do salonu	Ławka Meso
lozko-flus-szyszka	Szyszka	Flux – łóżko drewniane	Łóżko Flux
